UnitsID,UnitsName,UnitsType,UnitsAbbreviation
70,slug                                                                                                                                                                                                                                                           ,Mass                                                                                                                                                                                                                                                           ,slug                                                                                                                                                                                                                                                           
71,metric ton                                                                                                                                                                                                                                                     ,Mass                                                                                                                                                                                                                                                           ,tonne                                                                                                                                                                                                                                                          
72,grain                                                                                                                                                                                                                                                          ,Mass                                                                                                                                                                                                                                                           ,grain                                                                                                                                                                                                                                                          
73,carat                                                                                                                                                                                                                                                          ,Mass                                                                                                                                                                                                                                                           ,car                                                                                                                                                                                                                                                            
74,atomic mass unit                                                                                                                                                                                                                                               ,Mass                                                                                                                                                                                                                                                           ,amu                                                                                                                                                                                                                                                            
75,short ton                                                                                                                                                                                                                                                      ,Mass                                                                                                                                                                                                                                                           ,ton                                                                                                                                                                                                                                                            
76,BTU per hour                                                                                                                                                                                                                                                   ,Power                                                                                                                                                                                                                                                          ,BTU/hr                                                                                                                                                                                                                                                         
77,foot pound force per second                                                                                                                                                                                                                                    ,Power                                                                                                                                                                                                                                                          ,lbf/s                                                                                                                                                                                                                                                          
78,horse power (shaft)                                                                                                                                                                                                                                            ,Power                                                                                                                                                                                                                                                          ,hp                                                                                                                                                                                                                                                             
79,kilowatt                                                                                                                                                                                                                                                       ,Power                                                                                                                                                                                                                                                          ,kW                                                                                                                                                                                                                                                             
80,watt                                                                                                                                                                                                                                                           ,Power                                                                                                                                                                                                                                                          ,W                                                                                                                                                                                                                                                              
81,voltampere                                                                                                                                                                                                                                                     ,Power                                                                                                                                                                                                                                                          ,VA                                                                                                                                                                                                                                                             
82,atmospheres                                                                                                                                                                                                                                                    ,Pressure/Stress                                                                                                                                                                                                                                                ,atm                                                                                                                                                                                                                                                            
83,pascal                                                                                                                                                                                                                                                         ,Pressure/Stress                                                                                                                                                                                                                                                ,Pa                                                                                                                                                                                                                                                             
84,inch of mercury                                                                                                                                                                                                                                                ,Pressure/Stress                                                                                                                                                                                                                                                ,inch Hg                                                                                                                                                                                                                                                        
85,inch of water                                                                                                                                                                                                                                                  ,Pressure/Stress                                                                                                                                                                                                                                                ,inch H2O                                                                                                                                                                                                                                                       
86,millimeter of mercury                                                                                                                                                                                                                                          ,Pressure/Stress                                                                                                                                                                                                                                                ,mm Hg                                                                                                                                                                                                                                                          
87,millimeter of water                                                                                                                                                                                                                                            ,Pressure/Stress                                                                                                                                                                                                                                                ,mm H2O                                                                                                                                                                                                                                                         
88,centimeter of mercury                                                                                                                                                                                                                                          ,Pressure/Stress                                                                                                                                                                                                                                                ,cm Hg                                                                                                                                                                                                                                                          
89,centimeter of water                                                                                                                                                                                                                                            ,Pressure/Stress                                                                                                                                                                                                                                                ,cm H2O                                                                                                                                                                                                                                                         
90,millibar                                                                                                                                                                                                                                                       ,Pressure/Stress                                                                                                                                                                                                                                                ,mbar                                                                                                                                                                                                                                                           
91,pound force per square inch                                                                                                                                                                                                                                    ,Pressure/Stress                                                                                                                                                                                                                                                ,psi                                                                                                                                                                                                                                                            
92,torr                                                                                                                                                                                                                                                           ,Pressure/Stress                                                                                                                                                                                                                                                ,torr                                                                                                                                                                                                                                                           
93,barie                                                                                                                                                                                                                                                          ,Pressure/Stress                                                                                                                                                                                                                                                ,barie                                                                                                                                                                                                                                                          
94,meters per pixel                                                                                                                                                                                                                                               ,Resolution                                                                                                                                                                                                                                                     ,meters per pixel                                                                                                                                                                                                                                               
95,meters per meter                                                                                                                                                                                                                                               ,Scale                                                                                                                                                                                                                                                          ,-                                                                                                                                                                                                                                                              
96,degree celsius                                                                                                                                                                                                                                                 ,Temperature                                                                                                                                                                                                                                                    ,degC                                                                                                                                                                                                                                                           
97,degree fahrenheit                                                                                                                                                                                                                                              ,Temperature                                                                                                                                                                                                                                                    ,degF                                                                                                                                                                                                                                                           
98,degree rankine                                                                                                                                                                                                                                                 ,Temperature                                                                                                                                                                                                                                                    ,degR                                                                                                                                                                                                                                                           
99,degree kelvin                                                                                                                                                                                                                                                  ,Temperature                                                                                                                                                                                                                                                    ,degK                                                                                                                                                                                                                                                           
100,second                                                                                                                                                                                                                                                         ,Time                                                                                                                                                                                                                                                           ,s                                                                                                                                                                                                                                                              
101,millisecond                                                                                                                                                                                                                                                    ,Time                                                                                                                                                                                                                                                           ,millisec                                                                                                                                                                                                                                                       
102,minute                                                                                                                                                                                                                                                         ,Time                                                                                                                                                                                                                                                           ,min                                                                                                                                                                                                                                                            
103,hour                                                                                                                                                                                                                                                           ,Time                                                                                                                                                                                                                                                           ,hr                                                                                                                                                                                                                                                             
104,day                                                                                                                                                                                                                                                            ,Time                                                                                                                                                                                                                                                           ,d                                                                                                                                                                                                                                                              
105,week                                                                                                                                                                                                                                                           ,Time                                                                                                                                                                                                                                                           ,week                                                                                                                                                                                                                                                           
106,month                                                                                                                                                                                                                                                          ,Time                                                                                                                                                                                                                                                           ,month                                                                                                                                                                                                                                                          
107,common year (365 days)                                                                                                                                                                                                                                         ,Time                                                                                                                                                                                                                                                           ,yr                                                                                                                                                                                                                                                             
108,leap year (366 days)                                                                                                                                                                                                                                           ,Time                                                                                                                                                                                                                                                           ,leap yr                                                                                                                                                                                                                                                        
109,Julian year (365.25 days)                                                                                                                                                                                                                                      ,Time                                                                                                                                                                                                                                                           ,jul yr                                                                                                                                                                                                                                                         
110,Gregorian year (365.2425 days)                                                                                                                                                                                                                                 ,Time                                                                                                                                                                                                                                                           ,greg yr                                                                                                                                                                                                                                                        
111,centimeters per hour                                                                                                                                                                                                                                           ,Velocity                                                                                                                                                                                                                                                       ,cm/hr                                                                                                                                                                                                                                                          
112,centimeters per second                                                                                                                                                                                                                                         ,Velocity                                                                                                                                                                                                                                                       ,cm/s                                                                                                                                                                                                                                                           
113,feet per second                                                                                                                                                                                                                                                ,Velocity                                                                                                                                                                                                                                                       ,ft/s                                                                                                                                                                                                                                                           
114,gallons per day per square foot                                                                                                                                                                                                                                ,Velocity                                                                                                                                                                                                                                                       ,gpd/ft^2                                                                                                                                                                                                                                                       
115,inches per hour                                                                                                                                                                                                                                                ,Velocity                                                                                                                                                                                                                                                       ,in/hr                                                                                                                                                                                                                                                          
116,kilometers per hour                                                                                                                                                                                                                                            ,Velocity                                                                                                                                                                                                                                                       ,km/h                                                                                                                                                                                                                                                           
117,meters per day                                                                                                                                                                                                                                                 ,Velocity                                                                                                                                                                                                                                                       ,m/d                                                                                                                                                                                                                                                            
118,meters per hour                                                                                                                                                                                                                                                ,Velocity                                                                                                                                                                                                                                                       ,m/hr                                                                                                                                                                                                                                                           
119,meters per second                                                                                                                                                                                                                                              ,Velocity                                                                                                                                                                                                                                                       ,m/s                                                                                                                                                                                                                                                            
120,miles per hour                                                                                                                                                                                                                                                 ,Velocity                                                                                                                                                                                                                                                       ,mph                                                                                                                                                                                                                                                            
121,millimeters per hour                                                                                                                                                                                                                                           ,Velocity                                                                                                                                                                                                                                                       ,mm/hr                                                                                                                                                                                                                                                          
122,nautical mile per hour                                                                                                                                                                                                                                         ,Velocity                                                                                                                                                                                                                                                       ,knot                                                                                                                                                                                                                                                           
123,acre foot                                                                                                                                                                                                                                                      ,Volume                                                                                                                                                                                                                                                         ,ac ft                                                                                                                                                                                                                                                          
124,cubic centimeter                                                                                                                                                                                                                                               ,Volume                                                                                                                                                                                                                                                         ,cc                                                                                                                                                                                                                                                             
125,cubic foot                                                                                                                                                                                                                                                     ,Volume                                                                                                                                                                                                                                                         ,ft^3                                                                                                                                                                                                                                                           
126,cubic meter                                                                                                                                                                                                                                                    ,Volume                                                                                                                                                                                                                                                         ,m^3                                                                                                                                                                                                                                                            
127,hectare meter                                                                                                                                                                                                                                                  ,Volume                                                                                                                                                                                                                                                         ,hec m                                                                                                                                                                                                                                                          
128,liter                                                                                                                                                                                                                                                          ,Volume                                                                                                                                                                                                                                                         ,L                                                                                                                                                                                                                                                              
